date,Kilometerstand,Tageskilometer
01.01.2020,210,0
03.01.2020,220,10
07.01.2020,246,26
08.01.2020,264,18
09.01.2020,281,17
10.01.2020,293,12
11.01.2020,304,11
13.01.2020,313,9
14.01.2020,326,13
16.01.2020,343,17
17.01.2020,357,14
18.01.2020,369,12
20.01.2020,380,11
21.01.2020,389,9
22.01.2020,398,9
23.01.2020,409,11
24.01.2020,418,9
25.01.2020,429,11
26.01.2020,436,7
27.01.2020,445,9
28.01.2020,454,9
29.01.2020,463,9
30.01.2020,474,11
31.01.2020,493,19
04.02.2020,511,18
05.02.2020,521,10
06.02.2020,535,14
07.02.2020,544,9
09.02.2020,555,11
10.02.2020,564,9
11.02.2020,573,9
12.02.2020,588,15
13.02.2020,600,12
14.02.2020,611,11
16.02.2020,627,16
17.02.2020,642,15
18.02.2020,654,12
19.02.2020,665,11
20.02.2020,689,24
21.02.2020,715,26
22.02.2020,775,60
23.02.2020,788,13
25.02.2020,819,31
26.02.2020,836,17
27.02.2020,845,9
28.02.2020,854,9
29.02.2020,882,28
01.03.2020,897,15
02.03.2020,906,9
03.03.2020,915,9
04.03.2020,924,9
05.03.2020,937,13
06.03.2020,946,9
07.03.2020,948,2
08.03.2020,959,11
10.03.2020,979,20
12.03.2020,992,13
13.03.2020,1002,10
17.03.2020,1030,28
18.03.2020,1036,6
19.03.2020,1042,6
21.03.2020,1047,5
24.03.2020,1053,6
25.03.2020,1060,7
26.03.2020,1066,6
27.03.2020,1079,13
30.03.2020,1095,16
02.04.2020,1098,3
07.04.2020,1104,6
10.04.2020,1106,2
11.04.2020,1108,2
12.04.2020,1118,10
14.04.2020,1124,6
15.04.2020,1127,3
16.04.2020,1128,1
18.04.2020,1138,10
19.04.2020,1146,8
20.04.2020,1148,2
21.04.2020,1150,2
23.04.2020,1158,8
26.04.2020,1165,7
27.04.2020,1167,2
28.04.2020,1178,11
30.04.2020,1209,31
01.05.2020,1240,31
02.05.2020,1243,3
06.05.2020,1251,8
07.05.2020,1262,11
09.05.2020,1267,5
10.05.2020,1278,11
18.05.2020,1290,12
19.05.2020,1300,10
20.05.2020,1309,9
21.05.2020,1330,21
24.05.2020,1333,3
25.05.2020,1342,9
26.05.2020,1351,9
27.05.2020,1362,11
28.05.2020,1371,9
29.05.2020,1381,10
30.05.2020,1395,14
31.05.2020,1465,70
01.06.2020,1555,90
02.06.2020,1646,91
03.06.2020,1737,91
04.06.2020,1814,77
05.06.2020,1888,74
06.06.2020,1990,102
09.06.2020,2004,14
10.06.2020,2013,9
11.06.2020,2031,18
12.06.2020,2041,10
14.06.2020,2053,12
15.06.2020,2062,9
16.06.2020,2071,9
17.06.2020,2089,18
19.06.2020,2093,4
22.06.2020,2102,9
23.06.2020,2111,9
24.06.2020,2120,9
25.06.2020,2131,11
12.07.2020,2153,22
13.07.2020,2162,9
14.07.2020,2173,11
15.07.2020,2181,8
16.07.2020,2190,9
17.07.2020,2205,15
18.07.2020,2209,4
20.07.2020,2216,7
